,year,donor,recipient,coalesced_purpose_code,coalesced_purpose_name,year_purpose_total,year_total,categories
1028650,2010,United States,Sudan,21010,Transport policy & admin. management,72684700.0,788810524.066,Trans/Comm
6547,2010,United States,Sudan,11220,Primary education,21435125.172,788810524.066,Education
10054,2010,United States,Sudan,91010,Administrative costs,25098799.664,788810524.066,Administrative
261795,2010,United States,Sudan,52010,Food security programmes/food aid,29688770.3,788810524.066,Food
878718,2010,United States,Palestinian Adm. Areas,24000,"Banking and financial services, combinations of activities",1484960.0,739709683.901,Banking/Business
758943,2010,United States,Palestinian Adm. Areas,11420,Higher education,494986.0,739709683.901,Education
766882,2010,United States,Palestinian Adm. Areas,15205,"Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes",4916283.0,739709683.901,Civil Society
713516,2010,United States,Palestinian Adm. Areas,21010,Transport policy & admin. management,31885717.0,739709683.901,Trans/Comm
878719,2010,United States,Palestinian Adm. Areas,31120,Agricultural development,4949860.0,739709683.901,Agriculture/Env
927945,2010,United States,Palestinian Adm. Areas,73010,Reconstruction relief and rehabilitation,38410870.0,739709683.901,Emergeny Disaster Relief
955795,2010,United States,Palestinian Adm. Areas,12100,"Health, general, combinations of activities",4949860.0,739709683.901,Health
739829,2010,United States,Palestinian Adm. Areas,23066,Geothermal energy,433768.0,739709683.901,Energy
690845,2010,United States,Palestinian Adm. Areas,14022,Sanitation - large systems,313009.0,739709683.901,Water
97809,2010,United States,Palestinian Adm. Areas,99810,Sectors not specified,5147.85,739709683.901,Administrative
617334,2010,United States,Kenya,12220,Basic health care,197994.0,734527202.1159999,Health
658005,2010,United States,Kenya,23066,Geothermal energy,889492.0,734527202.1159999,Energy
653277,2010,United States,Kenya,15151,Elections,4207373.0,734527202.1159999,Civil Society
617339,2010,United States,Kenya,70000,"Emergency Assistance and Reconstruction, combinations of purposes",984882.0,734527202.1159999,Emergeny Disaster Relief
597674,2010,United States,Kenya,24040,Informal/semi-formal fin. intermed.,174804.0,734527202.1159999,Banking/Business
705841,2010,United States,Kenya,11420,Higher education,346490.0,734527202.1159999,Education
561358,2010,United States,Kenya,52010,Food security programmes/food aid,7373264.0,734527202.1159999,Food
817220,2010,United States,Kenya,43082,Research/scientific institutions,789417.0,734527202.1159999,Agriculture/Env
968717,2010,United States,Kenya,14020,Water supply & sanit. - large systems,6533810.0,734527202.1159999,Water
293,2010,United States,Kenya,91010,Administrative costs,8571134.486,734527202.1159999,Administrative
437486,2010,United States,Colombia,31120,Agricultural development,386459.7,649481546.836,Agriculture/Env
777331,2010,United States,Colombia,23030,Power generation/renewable sources,567292.0,649481546.836,Energy
488555,2010,United States,Colombia,72040,Emergency food aid,5686396.3,649481546.836,Emergeny Disaster Relief
499690,2010,United States,Colombia,15250,Land mine clearance,816726.1,649481546.836,Civil Society
593939,2010,United States,Colombia,12250,Infectious disease control,170770.0,649481546.836,Health
436581,2010,United States,Colombia,52010,Food aid/Food security programmes,2763602.7,649481546.836,Food
1051,2010,United States,Colombia,91010,Administrative costs,16722963.259,649481546.836,Administrative
596403,2010,United States,Mexico,21010,Transport policy & admin. management,173390.0,610841700.7400001,Trans/Comm
444296,2010,United States,Mexico,31220,Forestry development,71871.9,610841700.7400001,Agriculture/Env
499760,2010,United States,Mexico,25010,Business support services and institutions,5859461.1,610841700.7400001,Banking/Business
527851,2010,United States,Mexico,23064,Nuclear power plants,22419353.0,610841700.7400001,Energy
536334,2010,United States,Mexico,12230,Basic health infrastructure,121150.0,610841700.7400001,Health
563314,2010,United States,Mexico,14015,Water resources protection,141902.0,610841700.7400001,Water
900556,2010,United States,Mexico,11420,Higher education,1979940.0,610841700.7400001,Education
617217,2010,United States,Mexico,72010,Emergency/distress relief,197965.0,610841700.7400001,Emergeny Disaster Relief
852498,2010,United States,Mexico,11000,"Education, combinations of purposes",1107850.0,610841700.7400001,
403376,2010,United States,Mexico,15170,Women's equality organisations and institutions,56354.1,610841700.7400001,Civil Society
401,2010,United States,Mexico,91010,Administrative costs,1900499.248,610841700.7400001,Administrative
810037,2010,United States,Senegal,15205,"Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes",742478.0,602439186.0769999,Civil Society
682184,2010,United States,Senegal,12000,"Health, combination of general, basic, and population policy/reproductive health purposes",4760771.0,602439186.0769999,Health
724888,2010,United States,Senegal,70000,"Emergency Assistance and Reconstruction, combinations of purposes",393887.0,602439186.0769999,Emergeny Disaster Relief
758952,2010,United States,Senegal,21020,Road transport,321950926.0,602439186.0769999,Trans/Comm
823512,2010,United States,Senegal,33110,Trade policy and admin. management,2322476.0,602439186.0769999,Agriculture/Env
870285,2010,United States,Senegal,11420,Higher education,1361020.0,602439186.0769999,Education
953361,2010,United States,Senegal,14020,Water supply & sanit. - large systems,4712260.0,602439186.0769999,Water
574426,2010,United States,Senegal,24040,Informal/semi-formal fin. intermed.,151338.0,602439186.0769999,Banking/Business
6091,2010,United States,Senegal,91010,Administrative costs,4315062.848999999,602439186.0769999,Administrative
500425,2010,United States,Senegal,52010,Food security programmes/food aid,12299950.6,602439186.0769999,Food
780250,2010,United States,South Africa,12250,Infectious & Parasitic disease control,15196108.0,541562408.3070002,Health
410767,2010,United States,South Africa,23010,Energy policy and admin. management,500925.3,541562408.3070002,Energy
479344,2010,United States,South Africa,15110,Public sector policy and adm. management,88076.8,541562408.3070002,Civil Society
778232,2010,United States,South Africa,25010,Business support services and institutions,2976056.0,541562408.3070002,Banking/Business
383425,2010,United States,South Africa,31181,Agricultural education/training,50058.9,541562408.3070002,Agriculture/Env
265120,2010,United States,South Africa,99810,Sectors not specified,23393.0,541562408.3070002,Administrative
72037,2010,United States,South Africa,72010,Emergency/distress relief,322245.2,541562408.3070002,Emergeny Disaster Relief
629931,2010,United States,Nigeria,43082,Research/scientific institutions,612792.0,426496561.1320001,Agriculture/Env
598739,2010,United States,Nigeria,24030,Formal sector financ. intermediaries,175932.0,426496561.1320001,Banking/Business
584196,2010,United States,Nigeria,22010,Communications policy & admin. mgmt,160375.0,426496561.1320001,Trans/Comm
571093,2010,United States,Nigeria,12262,Malaria control,9162186.0,426496561.1320001,Health
460851,2010,United States,Nigeria,73010,Reconstruction relief and rehabilitation,79197.7,426496561.1320001,Emergeny Disaster Relief
456440,2010,United States,Nigeria,23010,Energy policy and admin. management,1006800.8,426496561.1320001,Energy
432765,2010,United States,Nigeria,11420,Higher education,67360.6,426496561.1320001,Education
817573,2010,United States,Nigeria,15205,"Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes",791977.0,426496561.1320001,Civil Society
932801,2010,United States,Nigeria,14020,Water supply & sanit. - large systems,3216150.0,426496561.1320001,Water
15484,2010,United States,Nigeria,91010,Administrative costs,7308154.642,426496561.1320001,Administrative
499805,2010,United States,"South of Sahara, regional",31210,Forestry policy & admin. management,98997.1,408256320.102,Agriculture/Env
617380,2010,United States,"South of Sahara, regional",15205,"Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes",3590095.0,408256320.102,Civil Society
571114,2010,United States,"South of Sahara, regional",14020,Water supply & sanit. - large systems,12933980.0,408256320.102,Water
503084,2010,United States,"South of Sahara, regional",72010,Emergency/distress relief,99796218.0,408256320.102,Emergeny Disaster Relief
499794,2010,United States,"South of Sahara, regional",12240,Basic nutrition,1954452.1,408256320.102,Health
499803,2010,United States,"South of Sahara, regional",23010,Energy policy and admin. management,2573924.1,408256320.102,Energy
928813,2010,United States,"South of Sahara, regional",21010,Transport policy and administrative management,3007200.0,408256320.102,Trans/Comm
758957,2010,United States,"South of Sahara, regional",11230,Basic life skills for youth & adults,6221129.0,408256320.102,Education
758966,2010,United States,"South of Sahara, regional",24010,Financial policy & admin. management,4841978.0,408256320.102,Banking/Business
1300,2010,United States,"South of Sahara, regional",91010,Administrative costs,28541085.578,408256320.102,Administrative
344039,2010,United States,"South of Sahara, regional",11000,"Education, combinations of purposes",39598.8,408256320.102,
392337,2010,United States,Uganda,15151,Elections,3440548.7,382395741.92100006,Civil Society
650127,2010,United States,Uganda,31191,Agricultural services,242247.0,382395741.92100006,Agriculture/Env
493968,2010,United States,Uganda,23064,Nuclear power plants,95878.7,382395741.92100006,Energy
541095,2010,United States,Uganda,12110,Health policy & admin. management,124681.0,382395741.92100006,Health
870286,2010,United States,Uganda,11420,Higher education,1361020.0,382395741.92100006,Education
682209,2010,United States,Uganda,72010,Emergency/distress relief,8439970.0,382395741.92100006,Emergeny Disaster Relief
161853,2010,United States,Uganda,52010,Food security programmes/food aid,25400378.1,382395741.92100006,Food
94374,2010,United States,Uganda,99810,Sectors not specified,4949.86,382395741.92100006,Administrative
653209,2010,United States,Tanzania,72010,Emergency/distress relief,8821808.0,343082237.5400001,Emergeny Disaster Relief
725777,2010,United States,Tanzania,11420,Higher education,890974.0,343082237.5400001,Education
681076,2010,United States,Tanzania,21020,Road transport,295025.0,343082237.5400001,Trans/Comm
499808,2010,United States,Tanzania,15150,Strengthening civil society,2355145.1,343082237.5400001,Civil Society
617393,2010,United States,Tanzania,13000,"Population policies/ programmes and reproductive health, combinations of activities",14728248.0,343082237.5400001,Health
612077,2010,United States,Tanzania,31163,Livestock,191459.0,343082237.5400001,Agriculture/Env
758285,2010,United States,Tanzania,24010,Financial policy & admin. management,1342401.0,343082237.5400001,Banking/Business
94367,2010,United States,Tanzania,11000,"Education, combinations of purposes",4949.86,343082237.5400001,
94368,2010,United States,Tanzania,14020,Water supply & sanit. - large systems,28915459.86,343082237.5400001,Water
122704,2010,United States,Tanzania,91010,Administrative costs,2077521.03,343082237.5400001,Administrative
381200,2010,United States,Tanzania,23040,Electrical transmission/distribution,31449508.6,343082237.5400001,Energy
865259,2010,United States,Mozambique,32161,Agro-industries,1280030.0,343019379.6,Agriculture/Env
686632,2010,United States,Mozambique,25010,Business support services and institutions,304660.0,343019379.6,Banking/Business
745726,2010,United States,Mozambique,11110,Education policy and administrative management,2035581.0,343019379.6,Education
771844,2010,United States,Mozambique,15110,Public sector policy and adm. management,544484.0,343019379.6,Civil Society
841153,2010,United States,Mozambique,12110,Health policy & admin. management,989971.0,343019379.6,Health
913552,2010,United States,Mozambique,14020,Water supply and sanitation - large systems,2375930.0,343019379.6,Water
964635,2010,United States,Mozambique,73010,Reconstruction relief and rehabilitation,5939830.0,343019379.6,Emergeny Disaster Relief
653286,2010,United States,Mozambique,23064,Nuclear power plants,247493.0,343019379.6,Energy
275060,2010,United States,Mozambique,52010,Food security programmes/food aid,33049671.4,343019379.6,Food
322573,2010,United States,Mozambique,91010,Administrative costs,5181614.2,343019379.6,Administrative
544637,2010,United States,Zambia,32140,Cottage industries & handicraft,127302.0,307476606.36,Agriculture/Env
571124,2010,United States,Zambia,13000,"Population policies/ programmes and reproductive health, combinations of activities",1138467.0,307476606.36,Health
682216,2010,United States,Zambia,15150,Strengthening civil society,1224594.0,307476606.36,Civil Society
682214,2010,United States,Zambia,11420,Higher education,296991.0,307476606.36,Education
834627,2010,United States,Zambia,23064,Nuclear power plants,928490.0,307476606.36,Energy
839949,2010,United States,Zambia,70000,"Emergency Assistance and Reconstruction, combinations of purposes",979415.0,307476606.36,Emergeny Disaster Relief
896405,2010,United States,Zambia,14020,Water supply & sanit. - large systems,6620940.0,307476606.36,Water
443057,2010,United States,Zambia,24010,Financial policy & admin. management,880143.3,307476606.36,Banking/Business
31960,2010,United States,Zambia,52010,Food security programmes/food aid,10021887.16,307476606.36,Food
381230,2010,United States,Zambia,11000,"Education, combinations of purposes",49498.6,307476606.36,
232440,2010,United States,Zambia,91010,Administrative costs,4435347.0,307476606.36,Administrative
718188,2010,United States,"Congo, Dem. Rep.",31120,Agricultural development,6572423.0,307374327.43999994,Agriculture/Env
653258,2010,United States,"Congo, Dem. Rep.",16050,Multisector aid for social services,11885465.0,307374327.43999994,Civil Society
682117,2010,United States,"Congo, Dem. Rep.",13000,"Population policies/ programmes and reproductive health, combinations of activities",296991.0,307374327.43999994,Health
682119,2010,United States,"Congo, Dem. Rep.",14020,Water supply and sanitation - large systems,2460871.0,307374327.43999994,Water
688074,2010,United States,"Congo, Dem. Rep.",72040,Emergency food aid,39960597.0,307374327.43999994,Emergeny Disaster Relief
907908,2010,United States,"Congo, Dem. Rep.",25010,Business support services and institutions,2187840.0,307374327.43999994,Banking/Business
924223,2010,United States,"Congo, Dem. Rep.",11220,Primary education,11409410.0,307374327.43999994,Education
67413,2010,United States,"Congo, Dem. Rep.",91010,Administrative costs,6607599.36,307374327.43999994,Administrative
111547,2010,United States,"Congo, Dem. Rep.",52010,Food aid/Food security programmes,62567950.82,307374327.43999994,Food
170433,2010,United States,"Congo, Dem. Rep.",23064,Nuclear power plants,167872.7,307374327.43999994,Energy
731519,2010,United States,Egypt,23010,Energy policy and admin. management,411828.0,291424774.143,Energy
797802,2010,United States,Egypt,41082,Environmental research,1979940.0,291424774.143,Agriculture/Env
758857,2010,United States,Egypt,16020,Employment policy and admin. mgmt.,71376916.0,291424774.143,Civil Society
817553,2010,United States,Egypt,11000,"Education, combinations of purposes",14552577.0,291424774.143,
998016,2010,United States,Egypt,21005,"Transport and Storage, purpose unspecified or does not fit under any other applicable codes",14849600.0,291424774.143,Trans/Comm
900534,2010,United States,Egypt,13020,Reproductive health care,1979940.0,291424774.143,Health
944156,2010,United States,Egypt,11220,Primary education,37123880.0,291424774.143,Education
996125,2010,United States,Egypt,24005,"Banking and financial services, purpose unspecified or does not fit under any other applicable codes",13970900.0,291424774.143,Banking/Business
380931,2010,United States,Egypt,14010,Water resources policy/admin. mgmt,49462.9,291424774.143,Water
1014,2010,United States,Egypt,91010,Administrative costs,962543.963,291424774.143,Administrative
271574,2010,United States,Egypt,72010,Emergency/distress relief,2779476.8,291424774.143,Emergeny Disaster Relief
632559,2010,United States,Georgia,24010,Financial policy and administrative management,4942930.0,256544116.45,Banking/Business
743734,2010,United States,Georgia,11230,Basic life skills for youth and adults,8930605.0,256544116.45,Education
697609,2010,United States,Georgia,31120,Agricultural development,21813812.0,256544116.45,Agriculture/Env
695089,2010,United States,Georgia,12250,Infectious disease control,7152539.0,256544116.45,Health
682131,2010,United States,Georgia,15250,Land mine clearance,2816467.0,256544116.45,Civil Society
600679,2010,United States,Georgia,23010,Energy policy and administrative management,11012188.0,256544116.45,Energy
596295,2010,United States,Georgia,22010,Communications policy and administrative management,173245.0,256544116.45,Trans/Comm
530733,2010,United States,Georgia,72010,Emergency/distress relief,57888763.0,256544116.45,Emergeny Disaster Relief
332,2010,United States,Georgia,91010,Administrative costs,5867123.177999999,256544116.45,Administrative
504043,2010,United States,Indonesia,15150,Democratic participation and civil society,10193650.0,245082449.213,Civil Society
791221,2010,United States,Indonesia,23066,Geothermal energy,2291439.0,245082449.213,Energy
558687,2010,United States,Indonesia,31120,Agricultural development,67068534.0,245082449.213,Agriculture/Env
581588,2010,United States,Indonesia,11420,Higher education,6206594.0,245082449.213,Education
617330,2010,United States,Indonesia,12000,"Health, combination of general, basic, and population policy/reproductive health purposes",7808780.0,245082449.213,Health
653272,2010,United States,Indonesia,73010,Reconstruction relief and rehabilitation,247493.0,245082449.213,Emergeny Disaster Relief
758879,2010,United States,Indonesia,25010,Business support services and institutions,2604774.0,245082449.213,Banking/Business
841033,2010,United States,Indonesia,14020,Water supply and sanitation - large systems,11233362.0,245082449.213,Water
460144,2010,United States,Indonesia,91010,Administrative costs,6843789.7,245082449.213,Administrative
425430,2010,United States,Indonesia,21010,Transport policy & admin. management,9469078.1,245082449.213,Trans/Comm
724533,2010,United States,Jordan,41010,Environmental policy and admin. mgmt,393019.0,243263789.40399998,Agriculture/Env
751798,2010,United States,Jordan,15160,Human rights,2450176.0,243263789.40399998,Civil Society
743739,2010,United States,Jordan,72010,Emergency/distress relief,24671617.0,243263789.40399998,Emergeny Disaster Relief
617332,2010,United States,Jordan,12000,"Health, combination of general, basic, and population policy/reproductive health purposes",11166880.0,243263789.40399998,Health
789089,2010,United States,Jordan,14010,Water resources policy/admin. mgmt,623682.0,243263789.40399998,Water
919494,2010,United States,Jordan,91010,Administrative costs,2611050.0,243263789.40399998,Administrative
987440,2010,United States,Jordan,25020,Privatisation,10605000.0,243263789.40399998,Banking/Business
2963,2010,United States,Jordan,23064,Nuclear power plants,10744670.155,243263789.40399998,Energy
249704,2010,United States,Jordan,11220,Primary education,48272953.5,243263789.40399998,Education
499706,2010,United States,Ghana,13000,"Population policies/ programmes and reproductive health, combinations of activities",9436405.1,232956472.06499997,Health
314984,2010,United States,Ghana,31192,Plant/post-harvest prot. & pest ctrl,32796.8,232956472.06499997,Agriculture/Env
417771,2010,United States,Ghana,23010,Energy policy and admin. management,61378.2,232956472.06499997,Energy
430668,2010,United States,Ghana,15110,Economic and development policy/planning,240184.7,232956472.06499997,Civil Society
1007731,2010,United States,Ghana,11220,Primary education,44569500.0,232956472.06499997,Education
952608,2010,United States,Ghana,14020,Water supply and sanitation - large systems,4642960.0,232956472.06499997,Water
965234,2010,United States,Ghana,21040,Water transport,6025540.0,232956472.06499997,Trans/Comm
248697,2010,United States,Ghana,91010,Administrative costs,7152625.3,232956472.06499997,Administrative
239563,2010,United States,Ghana,11000,"Education, combinations of purposes",19799.4,232956472.06499997,
119839,2010,United States,Ghana,72010,Material relief assistance and services,1040459.64,232956472.06499997,Emergeny Disaster Relief
716170,2010,United States,Liberia,12263,Tuberculosis control,371239.0,218823509.16099998,Health
841141,2010,United States,Liberia,41000,"General environmental protection, combinations of purposes",4092541.0,218823509.16099998,Agriculture/Env
801240,2010,United States,Liberia,16050,Multisector aid for social services,692980.0,218823509.16099998,Civil Society
870284,2010,United States,Liberia,11420,Higher education,3451840.0,218823509.16099998,Education
945909,2010,United States,Liberia,23010,Energy policy and admin. management,4096500.0,218823509.16099998,Energy
927937,2010,United States,Liberia,25010,Business support services and institutions,9637370.0,218823509.16099998,Banking/Business
986205,2010,United States,Liberia,14020,Water supply & sanit. - large systems,10220500.0,218823509.16099998,Water
992319,2010,United States,Liberia,21010,Transport policy & admin. management,12341000.0,218823509.16099998,Trans/Comm
488693,2010,United States,Liberia,91010,Administrative costs,6306472.3,218823509.16099998,Administrative
88563,2010,United States,Liberia,52010,Food security programmes/food aid,18277404.8,218823509.16099998,Food
121636,2010,United States,Liberia,72010,Emergency/distress relief,749516.7,218823509.16099998,Emergeny Disaster Relief
868894,2010,United States,Mongolia,16010,Social/welfare services,1336460.0,198778641.407,Civil Society
792837,2010,United States,Mongolia,24010,Financial policy & admin. management,643481.0,198778641.407,Banking/Business
810028,2010,United States,Mongolia,21081,Educ./trng in transport & storage,742478.0,198778641.407,Trans/Comm
811915,2010,United States,Mongolia,11330,Vocational training,25603462.0,198778641.407,Education
870626,2010,United States,Mongolia,41020,Biosphere protection,32121750.0,198778641.407,Agriculture/Env
889756,2010,United States,Mongolia,12110,Health policy & admin. management,12307280.0,198778641.407,Health
313979,2010,United States,Mongolia,91010,Administrative costs,619722.0,198778641.407,Administrative
379840,2010,United States,Mongolia,73010,Reconstruction relief and rehabilitation,296620.3,198778641.407,Emergeny Disaster Relief
548247,2010,United States,Mongolia,23064,Nuclear power plants,7825477.0,198778641.407,Energy
785100,2010,United States,Malawi,15130,Legal and judicial development,603882.0,191182187.84999996,Civil Society
499746,2010,United States,Malawi,24010,Financial policy & admin. management,98997.1,191182187.84999996,Banking/Business
533189,2010,United States,Malawi,21030,Rail transport,118879.0,191182187.84999996,Trans/Comm
665177,2010,United States,Malawi,12250,Infectious & Parasitic disease control,15849483.0,191182187.84999996,Health
758903,2010,United States,Malawi,31110,Agricultural policy and administrative management,5655706.0,191182187.84999996,Agriculture/Env
758904,2010,United States,Malawi,72010,Emergency/distress relief,494986.0,191182187.84999996,Emergeny Disaster Relief
850798,2010,United States,Malawi,11420,Higher education,1088970.0,191182187.84999996,Education
933018,2010,United States,Malawi,14020,Water supply & sanit. - large systems,3232200.0,191182187.84999996,Water
974987,2010,United States,Malawi,23040,Electrical transmission/distribution,7561730.0,191182187.84999996,Energy
55495,2010,United States,Malawi,52010,Food security programmes/food aid,25573844.189999998,191182187.84999996,Food
199568,2010,United States,Malawi,11000,"Education, combinations of purposes",14849.6,191182187.84999996,
342182,2010,United States,Malawi,91010,Administrative costs,6655194.8,191182187.84999996,Administrative
759004,2010,United States,Zimbabwe,13020,Reproductive health care,494986.0,190820932.71999997,Health
637246,2010,United States,Zimbabwe,15000,"Government and civil society, combination of activities",1707704.0,190820932.71999997,Civil Society
646846,2010,United States,Zimbabwe,31163,Livestock,236962.0,190820932.71999997,Agriculture/Env
759009,2010,United States,Zimbabwe,73010,Reconstruction relief and rehabilitation,9319843.0,190820932.71999997,Emergeny Disaster Relief
3660,2010,United States,Zimbabwe,91010,Administrative costs,4433107.068,190820932.71999997,Administrative
881738,2010,United States,Rwanda,32130,Sme development,1534460.0,186542545.31,Agriculture/Env
756024,2010,United States,Rwanda,12262,Malaria control,4766716.0,186542545.31,Health
758945,2010,United States,Rwanda,15112,Decentralisation and support to subnational govt.,494986.0,186542545.31,Civil Society
771178,2010,United States,Rwanda,24010,Financial policy & admin. management,541514.0,186542545.31,Banking/Business
951713,2010,United States,Rwanda,11220,Primary education,4553870.0,186542545.31,Education
163407,2010,United States,Rwanda,91010,Administrative costs,2539173.1,186542545.31,Administrative
162778,2010,United States,Rwanda,72040,Emergency food aid,4034231.8,186542545.31,Emergeny Disaster Relief
792132,2010,United States,Bangladesh,72040,Emergency food aid,3017130.0,183991530.823,Emergeny Disaster Relief
833154,2010,United States,Bangladesh,13010,Population policy and admin. mgmt,915475.0,183991530.823,Health
816092,2010,United States,Bangladesh,15220,"Civilian peace-building, conflict prevention and resolution",781582.0,183991530.823,Civil Society
628533,2010,United States,Bangladesh,23010,Energy policy and administrative management,210958.0,183991530.823,Energy
